     NET ID | general concept                          | notes
            |                                          | LLR   | 3.06 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 4348 W: 1365 L: 1118 D: 1865
            |                                          | Penta | [87, 437, 919, 604, 127]
            |                                          | https://chess.swehosting.se/test/7374/
            |                                          | vs. gestalt
            |                                          |
            |                                          | STC:
            |                                          | Elo   | 23.89 +- 6.91 (95%)
            |                                          | SPRT  | 8.0+0.08s Threads=1 Hash=16MB
            |                                          | LLR   | 2.95 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 2826 W: 781 L: 587 D: 1458
            |                                          | Penta | [14, 257, 686, 433, 23]
            |                                          | https://chess.swehosting.se/test/7376/
            |                                          | vs. gestalt
------------|------------------------------------------|-----------------------------------------------
   skirmish | gestalt with the tweaks enumerated at    | fixed-nodes:
         87 | end of the second ANNUEP blogpost        | Elo   | 14.81 +- 5.85 (95%)
            |                                          | SPRT  | N=25000 Threads=1 Hash=16MB
            |                                          | LLR   | 2.97 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 5492 W: 1663 L: 1429 D: 2400
            |                                          | Penta | [92, 569, 1254, 675, 156]
            |                                          | https://chess.swehosting.se/test/7391/
            |                                          | vs. semiotic
            |                                          |
            |                                          | STC:
            |                                          | Elo   | 6.82 +- 3.55 (95%)
            |                                          | SPRT  | 8.0+0.08s Threads=1 Hash=16MB
            |                                          | LLR   | 2.95 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 10540 W: 2673 L: 2466 D: 5401
            |                                          | Penta | [42, 1197, 2628, 1318, 85]
            |                                          | https://chess.swehosting.se/test/7396/
            |                                          | vs. semiotic
            |                                          |
            |                                          | LTC:
            |                                          | Elo   | 0.72 +- 3.75 (95%)
            |                                          | SPRT  | 40.0+0.40s Threads=1 Hash=128MB
            |                                          | LLR   | -0.00 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 7760 W: 1758 L: 1742 D: 4260
            |                                          | Penta | [6, 862, 2146, 842, 24]
            |                                          | https://chess.swehosting.se/test/7398/
            |                                          | vs. semiotic
            |                                          |
            |                                          | cosmo.tardis.ac/2024/07/15/nnue-research-02/
------------|------------------------------------------|-----------------------------------------------
    compact | semiotic with smaller dataset, much      | v1 (60sb, 5b fens) fixed-nodes:
         88 | shorter training run, and cosine lr.     | Elo   | -107.30 +- 15.74 (95%)
            |                                          | SPRT  | N=25000 Threads=1 Hash=16MB
            |                                          | LLR   | -3.11 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 952 W: 165 L: 450 D: 337
            |                                          | Penta | [86, 161, 185, 40, 4]
            |                                          | https://chess.swehosting.se/test/7444/
            |                                          | vs. semiotic
            |                                          | 
            |                                          | v2 (60sb, 8b fens) fixed-nodes:
            |                                          | Elo   | -43.56 +- 10.61 (95%)
            |                                          | SPRT  | N=25000 Threads=1 Hash=16MB
            |                                          | LLR   | -2.95 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 1836 W: 400 L: 629 D: 807
            |                                          | Penta | [70, 298, 369, 153, 28]
            |                                          | https://chess.swehosting.se/test/7445/
            |                                          | vs. semiotic
            |                                          | 
            |                                          | v3 (82sb, 8b fens) fixed-nodes:
            |                                          | Elo   | -26.55 +- 8.18 (95%)
            |                                          | SPRT  | N=25000 Threads=1 Hash=16MB
            |                                          | LLR   | -3.12 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 3042 W: 754 L: 986 D: 1302
            |                                          | Penta | [102, 435, 627, 307, 50]
            |                                          | https://chess.swehosting.se/test/7447/
            |                                          | vs. semiotic
            |                                          | 
            |                                          | v4 (160sb, 8b fens) fixed-nodes:
            |                                          | Elo   | -8.47 +- 4.81 (95%)
            |                                          | SPRT  | N=25000 Threads=1 Hash=16MB
            |                                          | LLR   | -3.08 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 8570 W: 2331 L: 2540 D: 3699
            |                                          | Penta | [217, 1108, 1803, 981, 176]
            |                                          | https://chess.swehosting.se/test/7448/
            |                                          | vs. semiotic
------------|------------------------------------------|-----------------------------------------------
   eternity | 13-buckets 2048x2 net, trained for 200   | fixed-nodes:
         89 | superbatches with cosine lr.             | Elo   | -1.97 +- 2.72 (95%)
            |                                          | SPRT  | N=25000 Threads=1 Hash=16MB
            | performance was sufficiently close to    | LLR   | -2.96 (-2.94, 2.94) [0.00, 3.00]
            | semiotic to make me think it was         | Games | N: 26234 W: 7280 L: 7429 D: 11525
            | possible to beat semiotic with a much    | Penta | [616, 3174, 5625, 3147, 555]
            | shorter training run.                    | https://chess.swehosting.se/test/7479/
            |                                          | vs. semiotic
------------|------------------------------------------|-----------------------------------------------
   everedge | semiotic but trained with WDL warmup to  | fixed-nodes:
         90 | 0.5 over the course of 160 superbatches. | Elo   | -5.78 +- 4.10 (95%)
            |                                          | SPRT  | N=25000 Threads=1 Hash=16MB
            |                                          | LLR   | -2.98 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 11490 W: 3123 L: 3314 D: 5053
            |                                          | Penta | [260, 1472, 2450, 1325, 238]
            |                                          | https://chess.swehosting.se/test/7481/
            |                                          | vs. semiotic
------------|------------------------------------------|-----------------------------------------------
  pendragon | 2048x2 net with an extra billion         | fixed-nodes v1:
         91 | fens from semiotic injected.             | Elo   | 5.93 +- 3.53 (95%)
            |                                          | SPRT  | N=25000 Threads=1 Hash=16MB
            | first version had 13 buckets and trained | LLR   | 2.99 (-2.94, 2.94) [0.00, 3.00]
            | for 400 superbatches.                    | Games | N: 16004 W: 4664 L: 4391 D: 6949
            |                                          | Penta | [375, 1805, 3375, 2066, 381]
            | second version had 16 buckets and a      | https://chess.swehosting.se/test/7580/
            | king bucket feature factoriser which     | vs. semiotic
            | significantly increased time per batch,  | 
            | so run was much longer despite also      | fixed-nodes v2:
            | running for 400 superbatches.            | Elo   | 31.64 +- 8.76 (95%)
            |                                          | SPRT  | N=25000 Threads=1 Hash=16MB
            |                                          | LLR   | 2.95 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 2588 W: 874 L: 639 D: 1075
            |                                          | Penta | [44, 234, 539, 397, 80]
            |                                          | https://chess.swehosting.se/test/7587/
            |                                          | vs. semiotic
            |                                          | 
            |                                          | STC v2:
            |                                          | Elo   | 0.51 +- 3.01 (95%)
            |                                          | SPRT  | 8.0+0.08s Threads=1 Hash=16MB
            |                                          | LLR   | -0.22 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 15616 W: 3704 L: 3681 D: 8231
            |                                          | Penta | [133, 1860, 3771, 1939, 105]
            |                                          | https://chess.swehosting.se/test/7588/
            |                                          | vs. semiotic
            |                                          | 
            |                                          | LTC v2:
            |                                          | Elo   | 4.83 +- 2.85 (95%)
            |                                          | SPRT  | 40.0+0.40s Threads=1 Hash=128MB
            |                                          | LLR   | 2.95 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 14880 W: 3434 L: 3227 D: 8219
            |                                          | Penta | [43, 1658, 3832, 1863, 44]
            |                                          | https://chess.swehosting.se/test/7590/
            |                                          | vs. semiotic
------------|------------------------------------------|-----------------------------------------------
hyperstition| 2048x2 -pairwise> 16 -> 32 -> 1 net.     | fixed-nodes:
         92 | crelu/screlu/screlu activations.         | Elo   | 42.88 +- 10.08 (95%)
            | trained under identical conditions to    | SPRT  | N=25000 Threads=1 Hash=16MB
            | pendragon.                               | LLR   | 3.09 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 2036 W: 718 L: 468 D: 850
            |                                          | Penta | [28, 183, 394, 337, 76]
            |                                          | https://chess.swehosting.se/test/7766/
            |                                          | vs. pendragon
            |                                          | 
            |                                          | LTC:
            |                                          | Elo   | 9.44 +- 4.12 (95%)
            |                                          | SPRT  | 40.0+0.40s Threads=1 Hash=128MB
            |                                          | LLR   | 2.98 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 7028 W: 1661 L: 1470 D: 3897
            |                                          | Penta | [14, 760, 1772, 957, 11]
            |                                          | https://chess.swehosting.se/test/7788/
            |                                          | vs. pendragon
------------|------------------------------------------|-----------------------------------------------
       lila | the final hyperstition weight file,      | fixed-nodes:
         93 | trained for 100 more superbatches with a | Elo   | 2.42 +- 1.89 (95%)
            | 0.0005 -> 0.0005 * 0.3^3 lr cosine lr    | SPRT  | N=25000 Threads=1 Hash=16MB
            | schedule, and including couple hundred   | LLR   | 3.00 (-2.94, 2.94) [0.00, 3.00]
            | million datapoints generated using       | Games | N: 52732 W: 14703 L: 14336 D: 23693
            | hyperstition. No other changes to the    | Penta | [1019, 6368, 11343, 6499, 1137]
            | training setup.                          | https://chess.swehosting.se/test/8011/
            |                                          | vs. hyperstition
            |                                          |
            |                                          | LTC:
            |                                          | Elo   | 4.04 +- 2.52 (95%)
            |                                          | SPRT  | 40.0+0.40s Threads=1 Hash=128MB
            |                                          | LLR   | 2.95 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 17712 W: 3992 L: 3786 D: 9934
            |                                          | Penta | [17, 1966, 4693, 2154, 26]
            |                                          | https://chess.swehosting.se/test/8056/
            |                                          | vs. hyperstition
------------|------------------------------------------|-----------------------------------------------
    voyager | the hyperstition arch, trained on the    | fixed-nodes:
         94 | new bullet version with extra fens       | Elo   | 9.80 +- 4.68 (95%)
            | generated using hyperstition & lila.     | SPRT  | N=25000 Threads=1 Hash=16MB
            |                                          | LLR   | 2.97 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 8652 W: 2578 L: 2334 D: 3740
            |                                          | Penta | [166, 956, 1869, 1138, 197]
            |                                          | https://chess.swehosting.se/test/8717/
            |                                          | vs. lila
            |                                          | 
            |                                          | LTC:
            |                                          | Elo   | 8.73 +- 4.00 (95%)
            |                                          | SPRT  | 40.0+0.40s Threads=1 Hash=128MB
            |                                          | LLR   | 2.95 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 7724 W: 1854 L: 1660 D: 4210
            |                                          | Penta | [26, 833, 1947, 1033, 23]
            |                                          | https://chess.swehosting.se/test/8718/
            |                                          | vs. lila
------------|------------------------------------------|-----------------------------------------------
     helios | voyager fine-tuned on a dataset rescored | fixed-nodes:
            | using TD with lambda = 0.05              | Elo   | -3.55 +- 3.31 (95%)
            |                                          | SPRT  | N=25000 Threads=1 Hash=16MB
            |                                          | LLR   | -2.98 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 16836 W: 4521 L: 4693 D: 7622
            |                                          | Penta | [350, 2079, 3683, 2005, 301]
            |                                          | https://chess.swehosting.se/test/8939/
            |                                          | vs. voyager
            |                                          | 
            |                                          | LTC:
            |                                          | Elo   | -4.05 +- 3.09 (95%)
            |                                          | SPRT  | 40.0+0.40s Threads=1 Hash=128MB
            |                                          | LLR   | -2.95 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 12526 W: 2730 L: 2876 D: 6920
            |                                          | Penta | [31, 1563, 3219, 1421, 29]
            |                                          | https://chess.swehosting.se/test/8940/
            |                                          | vs. voyager
------------|------------------------------------------|-----------------------------------------------
 jackhammer | attempt at a PSQT subnet. inference      | fixed-nodes:
            | was likely written wrongly.              | Elo   | -41.40 +- 10.05 (95%)
            |                                          | SPRT  | N=25000 Threads=1 Hash=16MB
            |                                          | LLR   | -2.99 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 1838 W: 424 L: 642 D: 772
            |                                          | Penta | [62, 287, 394, 159, 17]
            |                                          | https://chess.swehosting.se/test/9016/
            |                                          | vs. voyager
------------|------------------------------------------|-----------------------------------------------
   nostromo | attempt at lots of skip connections and  | fixed-nodes:
            | a psqt subnet. inference also likely     | Elo   | -10.44 +- 5.26 (95%)
            | to be bugged.                            | SPRT  | N=25000 Threads=1 Hash=16MB
            |                                          | LLR   | -3.00 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 6692 W: 1770 L: 1971 D: 2951
            |                                          | Penta | [157, 867, 1444, 776, 102]
            |                                          | https://chess.swehosting.se/test/9108/
            |                                          | vs. voyager
------------|------------------------------------------|-----------------------------------------------
 temperance | continued training on top of voyager for | fixed-nodes:
            | 200 superbatches with halved lr.         | Elo   | 6.44 +- 3.66 (95%)
            |                                          | SPRT  | N=25000 Threads=1 Hash=16MB
            |                                          | LLR   | 2.95 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 13432 W: 3789 L: 3540 D: 6103
            |                                          | Penta | [212, 1574, 2956, 1701, 273]
            |                                          | https://chess.swehosting.se/test/9168/#
            |                                          | vs. voyager
            |                                          |
            |                                          | LTC:
            |                                          | Elo   | 4.99 +- 2.87 (95%)
            |                                          | SPRT  | 40.0+0.40s Threads=1 Hash=128MB
            |                                          | LLR   | 2.99 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 14414 W: 3329 L: 3122 D: 7963
            |                                          | Penta | [30, 1617, 3716, 1804, 40]
            |                                          | https://chess.swehosting.se/test/9169/
            |                                          | vs. voyager
------------|------------------------------------------|-----------------------------------------------
   colossus | 3072x16 -> (16 -> 64 -> 1)x8 network.    | Elo   | 23.83 +- 7.22 (95%)
            |                                          | SPRT  | N=25000 Threads=1 Hash=16MB
            | tremendous performance at fixed-nodes,   | LLR   | 3.20 (-2.94, 2.94) [0.00, 3.00]
            | but obviously far too slow for real play.| Games | N: 3636 W: 1132 L: 883 D: 1621
            |                                          | Penta | [53, 372, 762, 535, 96]
            |                                          | https://chess.swehosting.se/test/9339/
            |                                          | vs. temperance
            |                                          |
            |                                          | LTC:
            |                                          | Elo   | -21.52 +- 6.67 (95%)
            |                                          | SPRT  | 40.0+0.40s Threads=1 Hash=128MB
            |                                          | LLR   | -2.95 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 2780 W: 547 L: 719 D: 1514
            |                                          | Penta | [13, 421, 685, 267, 4]
            |                                          | https://chess.swehosting.se/test/9353/
            |                                          | vs. temperance
------------|------------------------------------------|-----------------------------------------------
 blackheart | 2048x16 -> (16 -> 32 -> 1)x8 master arch | fixed-nodes:
            | but with a PSQT skip connection, linear  | Elo   | -2.41 +- 2.94 (95%)
            | lr schedule and noisy output buckets.    | SPRT  | N=25000 Threads=1 Hash=16MB
            |                                          | LLR   | -2.96 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 22902 W: 6596 L: 6755 D: 9551
            |                                          | Penta | [557, 2776, 4897, 2711, 510]
            |                                          | https://chess.swehosting.se/test/9577/
            |                                          | vs. temperance
------------|------------------------------------------|-----------------------------------------------
   goldsoul | 200 standard post-training superbatches  | fixed-nodes:
            | on top of blackheart.                    | Elo   | 2.38 +- 1.88 (95%)
            |                                          | SPRT  | N=25000 Threads=1 Hash=16MB
            |                                          | LLR   | 2.98 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 55336 W: 16303 L: 15924 D: 23109
            |                                          | Penta | [1246, 6447, 11921, 6790, 1264]
            |                                          | https://chess.swehosting.se/test/9578/
            |                                          | vs. temperance
            |                                          |
            |                                          | STC:
            |                                          | Elo   | -2.52 +- 2.72 (95%)
            |                                          | SPRT  | 8.0+0.08s Threads=1 Hash=16MB
            |                                          | LLR   | -2.96 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 20026 W: 5009 L: 5154 D: 9863
            |                                          | Penta | [224, 2438, 4779, 2403, 169]
            |                                          | https://chess.swehosting.se/test/9582/
            |                                          | vs. temperance
------------|------------------------------------------|-----------------------------------------------
   godsword | 200 WDL=0.75 superbatches on top of      | fixed-nodes:
            | blackheart.                              | Elo   | -4.29 +- 3.65 (95%)
            |                                          | SPRT  | N=25000 Threads=1 Hash=16MB
            |                                          | LLR   | -2.95 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 14668 W: 4247 L: 4428 D: 5993
            |                                          | Penta | [380, 1735, 3216, 1692, 311]
            |                                          | https://chess.swehosting.se/test/9580/
            |                                          | vs. temperance
            |                                          |
            |                                          | STC:
            |                                          | Elo   | -6.62 +- 4.13 (95%)
            |                                          | SPRT  | 8.0+0.08s Threads=1 Hash=16MB
            |                                          | LLR   | -2.95 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 9186 W: 2269 L: 2444 D: 4473
            |                                          | Penta | [127, 1173, 2125, 1084, 84]
            |                                          | https://chess.swehosting.se/test/9583/
            |                                          | vs. temperance
------------|------------------------------------------|-----------------------------------------------
perseverance| 200 superbatches filtering data before   | fixed-nodes:
            | 2023-04-01, and upsampling data          | Elo   | 7.24 +- 3.94 (95%)
            | generated by colossus by 4x.             | SPRT  | N=25000 Threads=1 Hash=16MB
            |                                          | LLR   | 3.01 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 12578 W: 3725 L: 3463 D: 5390
            |                                          | Penta | [267, 1410, 2715, 1588, 309]
            |                                          | https://chess.swehosting.se/test/9601/
            |                                          | vs. temperance
            |                                          |
            |                                          | LTC:
            |                                          | Elo   | 8.44 +- 3.90 (95%)
            |                                          | SPRT  | 40.0+0.40s Threads=1 Hash=128MB
            |                                          | LLR   | 2.95 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 7946 W: 1966 L: 1773 D: 4207
            |                                          | Penta | [31, 829, 2049, 1044, 20]
            |                                          | https://chess.swehosting.se/test/9602/
            |                                          | vs. temperance
------------|------------------------------------------|-----------------------------------------------
    kolibri | fresh run including some UHO Lichess     | fixed-nodes:
            | data generated using perseverance.       | Elo   | 0.15 +- 1.41 (95%)
            | linear lr schedule.                      | SPRT  | N=25000 Threads=1 Hash=16MB
            |                                          | LLR   | -3.10 (-2.94, 2.94) [0.00, 3.00]
            | merged for the DFRC performance.         | Games | N: 98426 W: 28680 L: 28637 D: 41109
            |                                          | Penta | [2282, 11657, 21257, 11770, 2247]
            |                                          | https://chess.swehosting.se/test/9891/
            |                                          | vs. perseverance
            |                                          |
            |                                          | STC:
            |                                          | Elo   | 0.11 +- 3.38 (95%)
            |                                          | SPRT  | 8.0+0.08s Threads=1 Hash=16MB
            |                                          | LLR   | -0.42 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 12964 W: 3330 L: 3326 D: 6308
            |                                          | Penta | [126, 1575, 3070, 1591, 120]
            |                                          | https://chess.swehosting.se/test/9894/
            |                                          | vs. perseverance
            |                                          |
            |                                          | fixed-nodes DFRC:
            |                                          | Elo   | 6.54 +- 3.90 (95%)
            |                                          | SPRT  | N=25000 Threads=1 Hash=16MB
            |                                          | LLR   | 2.98 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 15946 W: 4805 L: 4505 D: 6636
            |                                          | Penta | [523, 1872, 2944, 2050, 584]
            |                                          | https://chess.swehosting.se/test/9897/
            |                                          | vs. perseverance
------------|------------------------------------------|-----------------------------------------------
    requiem | Uses the farseer output bucket layout,   | fixed-nodes:
            | small amount of extra DFRC book data,    | Elo   | -1.29 +- 2.36 (95%)
            | less early-ply filtering, adds l4=32     | SPRT  | N=25000 Threads=1 Hash=16MB
            | and uses skip connection (final layer    | LLR   | -3.02 (-2.94, 2.94) [0.00, 3.00]
            | dotprod is on the concatentation of the  | Games | N: 34692 W: 10078 L: 10207 D: 14407
            | previous two layers' output).            | Penta | [779, 4199, 7520, 4068, 780]
            | final lr dropped by x0.3.                | https://chess.swehosting.se/test/9945/
            |                                          | vs. kolibri
            | less filtering probably ruined it.       |
            |                                          | STC:
            |                                          | Elo   | -10.62 +- 4.92 (95%)
            |                                          | SPRT  | 8.0+0.08s Threads=1 Hash=16MB
            |                                          | LLR   | -2.97 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 5758 W: 1344 L: 1520 D: 2894
            |                                          | Penta | [46, 776, 1408, 606, 43]
            |                                          | https://chess.swehosting.se/test/9946/
            |                                          | vs. kolibri
------------|------------------------------------------|-----------------------------------------------
     sensei | 8192x2 -(pairwise)> 16 -> 64 -> 1 net.   | fixed-nodes:
            | crelu/screlu/screlu activations.         | Elo   | 35.57 +- 9.22 (95%)
            | no buckets, input or output.             | SPRT  | N=25000 Threads=1 Hash=16MB
            |                                          | LLR   | 3.05 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 2372 W: 820 L: 578 D: 974
            |                                          | Penta | [32, 224, 485, 360, 85]
            |                                          | https://chess.swehosting.se/test/9979/
            |                                          | vs. kolibri
------------|------------------------------------------|-----------------------------------------------
    alembic | normal hyperstition arch, distilled from | fixed-nodes:
            | sensei. farseer buckets.                 | Elo   | -12.69 +- 5.77 (95%)
            |                                          | SPRT  | N=25000 Threads=1 Hash=16MB
            | very depressed about how bad this was.   | LLR   | -3.08 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 5918 W: 1660 L: 1876 D: 2382
            |                                          | Penta | [157, 778, 1267, 638, 119]
            |                                          | https://chess.swehosting.se/test/9990/
            |                                          | vs. kolibri
            |                                          | 
            |                                          | STC:
            |                                          | Elo   | -25.95 +- 7.62 (95%)
            |                                          | SPRT  | 8.0+0.08s Threads=1 Hash=16MB
            |                                          | LLR   | -3.00 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 2616 W: 553 L: 748 D: 1315
            |                                          | Penta | [33, 418, 584, 257, 16]
            |                                          | https://chess.swehosting.se/test/9991/
            |                                          | vs. kolibri
------------|------------------------------------------|-----------------------------------------------
     umwelt | very standard from-scratch net with      | fixed-nodes:
            | farseer buckets and some more 25knodes   | Elo   | -2.18 +- 2.79 (95%)
            | data.                                    | SPRT  | N=25000 Threads=1 Hash=16MB
            |                                          | LLR   | -2.96 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 24186 W: 6764 L: 6916 D: 10506
            |                                          | Penta | [498, 3027, 5167, 2931, 470]
            |                                          | https://chess.swehosting.se/test/10275/
            |                                          | vs. kolibri
            |                                          |
            |                                          | STC:
            |                                          | Elo   | -4.82 +- 3.47 (95%)
            |                                          | SPRT  | 8.0+0.08s Threads=1 Hash=16MB
            |                                          | LLR   | -2.99 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 11744 W: 2775 L: 2938 D: 6031
            |                                          | Penta | [99, 1499, 2816, 1382, 76]
            |                                          | https://chess.swehosting.se/test/10276/
            |                                          | vs. kolibri
            |                                          |
            |                                          | LTC:
            |                                          | Elo   | -4.54 +- 3.27 (95%)
            |                                          | SPRT  | 40.0+0.40s Threads=1 Hash=128MB
            |                                          | LLR   | -2.95 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 11548 W: 2546 L: 2697 D: 6305
            |                                          | Penta | [35, 1478, 2899, 1327, 35]
            |                                          | https://chess.swehosting.se/test/10279/
            |                                          | vs. kolibri
------------|------------------------------------------|-----------------------------------------------
      falke | fine-tune of kolibri with old data       | fixed-nodes:
            | cleaned out and 25knode data upsampled.  | Elo   | 4.54 +- 2.96 (95%)
            |                                          | SPRT  | N=25000 Threads=1 Hash=16MB
            |                                          | LLR   | 2.97 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 20808 W: 5893 L: 5621 D: 9294
            |                                          | Penta | [396, 2394, 4526, 2718, 370]
            |                                          | https://chess.swehosting.se/test/10323/
            |                                          | vs. kolibri
            |                                          |
            |                                          | LTC:
            |                                          | Elo   | 13.86 +- 5.07 (95%)
            |                                          | SPRT  | 40.0+0.40s Threads=1 Hash=128MB
            |                                          | LLR   | 2.95 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 4564 W: 1127 L: 945 D: 2492
            |                                          | Penta | [8, 449, 1195, 613, 17]
            |                                          | https://chess.swehosting.se/test/10324/
            |                                          | vs. kolibri
------------|------------------------------------------|-----------------------------------------------
  synthesis | four-headed network (value, W, D, L)     | fixed-nodes (value head):
            | trained on standard value-blend target   | Elo   | -14.70 +- 6.23 (95%)
            | and a cross-entropy loss against WDL.    | SPRT  | N=25000 Threads=1 Hash=16MB
            |                                          | LLR   | -3.00 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 4966 W: 1316 L: 1526 D: 2124
            |                                          | Penta | [131, 669, 1038, 569, 76]
            |                                          | https://chess.swehosting.se/test/10427/
            |                                          | vs. falke
            |                                          | 
            |                                          | fixed-nodes (WDL heads):
            |                                          | Elo   | -17.25 +- 6.67 (95%)
            |                                          | SPRT  | N=25000 Threads=1 Hash=16MB
            |                                          | LLR   | -2.97 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 4132 W: 1017 L: 1222 D: 1893
            |                                          | Penta | [102, 572, 867, 479, 46]
            |                                          | https://chess.swehosting.se/test/10431/
            |                                          | vs. synthesis-value
            |                                          | 
            |                                          | LTC:
            |                                          | Elo   | -33.72 +- 4.80 (95%)
            |                                          | Conf  | 60.0+0.60s Threads=1 Hash=128MB
            |                                          | Games | N: 5002 W: 959 L: 1443 D: 2600
            |                                          | Penta | [21, 830, 1266, 380, 4]
            |                                          | https://chess.swehosting.se/test/10657/
            |                                          | vs. falke
------------|------------------------------------------|-----------------------------------------------
    delenda | fresh retrain with full network          | fixed-nodes:
            | factorisation.                           | Elo   | 7.81 +- 4.08 (95%)
            |                                          | SPRT  | N=25000 Threads=1 Hash=16MB
            |                                          | LLR   | 2.99 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 11082 W: 3261 L: 3012 D: 4809
            |                                          | Penta | [203, 1230, 2470, 1391, 247]
            |                                          | https://chess.swehosting.se/test/10740/
            |                                          | vs. falke
            |                                          | 
            |                                          | LTC:
            |                                          | Elo   | 2.06 +- 1.61 (95%)
            |                                          | SPRT  | 40.0+0.40s Threads=1 Hash=128MB
            |                                          | LLR   | 2.96 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 47132 W: 11259 L: 10979 D: 24894
            |                                          | Penta | [115, 5554, 11997, 5736, 164]
            |                                          | https://chess.swehosting.se/test/10741/
            |                                          | vs. falke
------------|------------------------------------------|-----------------------------------------------
  wavefront | a variety of 50-superbatch retraining    | https://chess.swehosting.se/test/10601/
            | experiments to test direct viripack data | https://chess.swehosting.se/test/10606/
            |                                          | https://chess.swehosting.se/test/10611/
            | all terrible.                            | https://chess.swehosting.se/test/10613/
            |                                          | https://chess.swehosting.se/test/10617/
------------|------------------------------------------|-----------------------------------------------
    scorpio | factorised (apart from L1), training     | fixed-nodes:
            | using the viribinpack dataloader.        | Elo   | -50.65 +- 11.13 (95%)
            |                                          | SPRT  | N=25000 Threads=1 Hash=16MB
            | because upsampling-via-dual-interleaving | LLR   | -2.98 (-2.94, 2.94) [0.00, 3.00]
            | puts the duplicate records in the same   | Games | N: 1582 W: 353 L: 582 D: 647
            | area of the data file, this probably had | Penta | [57, 275, 317, 124, 18]
            | bugged data.                             | https://chess.swehosting.se/test/10761/
            |                                          | vs. delenda
------------|------------------------------------------|-----------------------------------------------
     legion | delenda finetune on new data.            | fixed-nodes:
            | loading from naively interleaved         | Elo   | -43.14 +- 10.05 (95%)
            | viribinpacks.                            | SPRT  | N=25000 Threads=1 Hash=16MB
            |                                          | LLR   | -3.30 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 2032 W: 488 L: 739 D: 805
            |                                          | Penta | [92, 288, 439, 173, 24]
            |                                          | https://chess.swehosting.se/test/10763/
            |                                          | vs. delenda
------------|------------------------------------------|-----------------------------------------------
 iridescent | same as legion with 4gb mixing buffer.   | fixed-nodes:
            |                                          | Elo   | -48.90 +- 11.15 (95%)
            |                                          | SPRT  | N=25000 Threads=1 Hash=16MB
            |                                          | LLR   | -3.06 (-2.94, 2.94) [0.00, 3.00]
            |                                          | Games | N: 1702 W: 382 L: 620 D: 700
            |                                          | Penta | [78, 268, 338, 148, 19]
            |                                          | https://chess.swehosting.se/test/10765/
